individual	Panel	GroupK9	Country	Name	Variety name	Version	Duplicate
254	3k	XI-adm	Myanmar	IRIS_313-12291	NGA CHEKH FAT		
255	3k	XI-adm	Laos	IRIS_313-12300	NGAM KON DAM		
256	3k	XI-adm	Laos	IRIS_313-12355	Nasaeng		
257	EastHimalayan			RAYADA	RAYADA		
258	EastHimalayan			GOAI	GOAI		
259	EastHimalayan			KAUKKYISAW	KAUKKYISAW		
260	EastHimalayan			YELAIK_MEEDON	YELAIK_MEEDON		
261	ICP-elite			IR11N313	IR11N313	V1	
262	ICP-elite			IR11A293	IR11A293	V1	
263	ICP-elite			IR05N341	IR05N341	V1	
264	ICP-elite			IR12A311	IR12A311	V1	
265	ICP-elite			IR12A136	IR12A136	V1	
266	ICP-elite			IR11N202	IR11N202	V1	
267	ICP-elite			IR13N102	IR13N102	V1	
268	ICP-elite			IR10M210	IR10M210	V1	
269	ICP-elite			IR13N152	IR13N152	V1	
270	ICP-elite			IR110615-C1-B-B-B-1-1	IR110615-C1-B-B-B-1-1	V1	
271	ICP-elite			IRRI154	IRRI154	V1	yes
272	ICP-elite			IR12N135	IR12N135	V1	
274	Other			IR100097-B-B-RGA-B-RGA-8	IR100097-B-B-RGA-B-RGA-8	Other	
275	ICP-elite			IR09M120	IR09M120	V1	
276	ICP-elite			IR11A282	IR11A282	V1	yes
277	ICP-elite			IR105469-72-18-2	IR105469-72-18-2	V1	
278	ICP-elite			IR09A235	IR09A235	V1	
279	ICP-elite			IR12N252	IR12N252	V1	
280	ICP-elite			IR13N157	IR13N157	V1	
281	ICP-elite			IR14F711	IR14F711	V1	
282	ICP-elite			IR13A153	IR13A153	V1	
283	ICP-elite			IR54447-3B-10-2	IR54447-3B-10-2	V1	
284	ICP-elite			IR14N153	IR14N153	V1	
285	ICP-elite			IR13A107	IR13A107	V1	
286	ICP-elite			IR05N359	IR05N359	V1	
287	ICP-elite			IR12A282	IR12A282	V1	
288	ICP-elite			IR13N134	IR13N134	V1	
290	ICP-elite			IR10F559	IR10F559	V1	
291	ICP-elite			IR14A150	IR14A150	V1	
292	ICP-elite			IR10N230	IR10N230	V1	
293	ICP-elite			IR12N249	IR12N249	V1	
294	ICP-elite			IR10N134	IR10N134	V1	
295	ICP-elite			IR13A514	IR13A514	V1	yes
296	ICP-elite			IR15A4029	IR15A4029	V1	yes
297	ICP-elite			IR99982-B-B-B-B-1	IR99982-B-B-B-B-1	V1	
298	ICP-elite			IR13N115	IR13N115	V1	
299	ICP-elite			IR14A216	IR14A216	V1	yes
300	ICP-elite			IR08N134	IR08N134	V1	
301	Other			IR100842-B-B-RGA-B-RGA-B-RGA-9	IR100842-B-B-RGA-B-RGA-B-RGA-9	Other	
302	ICP-elite			IR12A329	IR12A329	V1	
303	ICP-elite			IR100120-B-B-B-B-11	IR100120-B-B-B-B-11	V1	
304	ICP-elite			IR10N271	IR10N271	V1	
305	ICP-elite			IR99047-B-B-B-B-47	IR99047-B-B-B-B-47	V1	
306	ICP-elite			IR12N231	IR12N231	V1	
307	ICP-elite			IR12M112	IR12M112	V1	
308	ICP-elite			IR11A341	IR11A341	V1	
309	ICP-elite			IR10A107	IR10A107	V1	
310	ICP-elite			IR12A173	IR12A173	V1	
311	ICP-elite			IR13N131	IR13N131	V1	
312	ICP-elite			IRRI180	IRRI180	V1	
313	Other			IR99993-B-B-RGA-B-RGA-B-RGA-1	IR99993-B-B-RGA-B-RGA-B-RGA-1	Other	
314	ICP-elite			IR03A568	IR03A568	V1	
315	ICP-elite			IR15M1289	IR15M1289	V1	
