individual	Panel	GroupK9	Country	Name	Variety name	Version	Duplicate
428	Other			IRBL16-3	IRBL16-3	Other	
429	Other			IRBL17-2	IRBL17-2	Other	
430	Other			IRBL25-3	IRBL25-3	Other	
431	Other			NSICRc402	NSICRc402	Other	
432	Other			NSICRc440	NSICRc440	Other	
433	Other			PR37541-43-3-2-2-2-1-2-3-B-3-1-1	PR37541-43-3-2-2-2-1-2-3-B-3-1-1	Other	
434	ICP-elite			IR09A228	IR09A228	V2	yes
435	Other			IR09L226	IR09L226	Other	
436	Other			IR09L303	IR09L303	Other	
437	Other			IR100638-12-AJY-3-CMU-2	IR100638-12-AJY-3-CMU-2	Other	
438	Other			IR100688-15-AJY-2-CMU-2	IR100688-15-AJY-2-CMU-2	Other	
439	Other			IR100692-AJY-5-1-AJY-1	IR100692-AJY-5-1-AJY-1	Other	
440	ICP-elite			IR106432-B-B-B-B-25	IR106432-B-B-B-B-25	V2	
441	Other			IR107051-15-1-1	IR107051-15-1-1	Other	
442	Other			IR107995-B-B-RGA-B-RGA-64-1	IR107995-B-B-RGA-B-RGA-64-1	Other	
443	Other			IR108289-B-AJY-1-2-B-1	IR108289-B-AJY-1-2-B-1	Other	
444	ICP-elite			IR10A135	IR10A135	V2	yes
445	ICP-elite			IR110615-C1-B-B-B-1-1	IR110615-C1-B-B-B-1-1	V1	
446	ICP-elite			IR11A282	IR11A282	V1	yes
447	ICP-elite			IR11A297	IR11A297	V1	yes
448	ICP-elite			IR11A306	IR11A306	V2	yes
449	ICP-elite			IR122310-7-2-2	IR122310-7-2-2	V1	
450	ICP-elite			IR12N165	IR12N165	V1	yes
451	ICP-elite			IR13A514	IR13A514	V1	yes
452	ICP-elite			IR14A216	IR14A216	V1	yes
453	Other			IR14F707	IR14F707	Other	
454	Other			IR14F717	IR14F717	Other	
455	Other			IR14L297	IR14L297	Other	
456	Other			IR14L331	IR14L331	Other	
457	Other			IR14L362	IR14L362	Other	
458	Other			IR14L395	IR14L395	Other	
459	Other			IR14L440	IR14L440	Other	
460	Other			IR14L521	IR14L521	Other	
461	Other			IR14L594	IR14L594	Other	
462	ICP-elite			IR15A2829	IR15A2829	V2	yes
463	Other			IR15F1706	IR15F1706	Other	
464	Other			IR15F1764	IR15F1764	Other	
465	Other			IR15F1766	IR15F1766	Other	
466	Other			IR15F1832	IR15F1832	Other	
467	Other			IR15F1868	IR15F1868	Other	
468	Other			IR15F1886	IR15F1886	Other	
469	Other			IR15F1936	IR15F1936	Other	
470	Other			IR15F1943	IR15F1943	Other	
471	Other			IR15L1442	IR15L1442	Other	
472	Other			IR15T1133	IR15T1133	Other	
473	Other			IR15T1330	IR15T1330	Other	
474	Other			IR15T1473	IR15T1473	Other	
475	Other			IR15T1476	IR15T1476	Other	
476	ICP-elite			IR16A2834	IR16A2834	V2	yes
477	ICP-elite			IR16A2841	IR16A2841	V2	yes
478	Other			IR16F1061	IR16F1061	Other	
479	Other			IR16F1097	IR16F1097	Other	
480	Other			IR16F1159	IR16F1159	Other	
481	Other			IR16F1229	IR16F1229	Other	
482	Other			IR16F1254	IR16F1254	Other	
483	Other			IR16L1499	IR16L1499	Other	
484	Other			IR17L1099	IR17L1099	Other	
485	Other			IR77080-B-34-3	IR77080-B-34-3	Other	
486	Other			IR83381-B-B-137-3	IR83381-B-B-137-3	Other	
487	Other			IR93339-29-B-7-7-B-B-B-16	IR93339-29-B-7-7-B-B-B-16	Other	
488	Other			IR93339-39-B-6-5-B-B-B-47	IR93339-39-B-6-5-B-B-B-47	Other	
489	Other			IR95781-15-1-1-4	IR95781-15-1-1-4	Other	
490	Other			IR95785-15-2-1-2	IR95785-15-2-1-2	Other	
491	Other			IR95804-5-1-1-2	IR95804-5-1-1-2	Other	
492	Other			IR96173-34-3-2-AJY-3-1	IR96173-34-3-2-AJY-3-1	Other	
493	Other			IR98430-B-B-B-B-11	IR98430-B-B-B-B-11	Other	
494	Other			IR99107-B-B-B-B-27	IR99107-B-B-B-B-27	Other	
495	ICP-elite			IR99982-B-B-B-B-32	IR99982-B-B-B-B-32	V2	
496	ICP-key trait donor			IRBB23	IRBB23	V1	
497	ICP-key trait donor			IRBL9w	IRBL9w	V1	yes
498	Other			IRI25GBL41	IRI25GBL41	Other	
499	ICP-elite			IRRI154	IRRI154	V1	yes
500	Other			IRRI163	IRRI163	Other	
501	ICP-elite			IRRI174	IRRI174	V1	
502	Other			IRRI200	IRRI200	Other	
503	Other			NSIC-Rc9	NSIC-Rc9	Other	
504	Other			PIR-26-C0-2071-1-4-2-1	PIR-26-C0-2071-1-4-2-1	Other	
